trip,datetime,lon,lat,gaps,dive,step_speed,step_direction,lon_std,lat_std,step_speed_std,step_direction_cos,step_direction_sin,prediction
P1109_15_LB_T4,2009-12-03 19:30:38,-77.26336500000001,-11.77363,0.6,0,10.298498939593122,34.82935605476629,0.08816729370971098,-2.89951497865667,0.40773856052577095,0.8208566906697904,0.5711342166099314,0.10903156918917044
P1109_15_LB_T4,2009-12-03 19:30:43,-77.263622,-11.774175,0.4,0,13.363486734814128,-19.177835251986835,0.0670758712991139,-2.9454500858548798,0.5293505645471239,0.9445035209196414,-0.3285012921898491,0.07478323891754395
P1109_15_LB_T4,2009-12-03 19:30:48,-77.2638135,-11.774695,0.6,0,12.305831405067144,-4.9545827294897435,0.05135988922997042,-2.989278078044073,0.4873851171104495,0.9962634718018037,-0.08636605093100264,0.040471461108737415
P1109_15_LB_T4,2009-12-03 19:30:53,-77.263992,-11.775285,0.4,0,13.69884067721531,-3.32724519897954,0.03671078844975673,-3.0390059922588124,0.542656674625428,0.9983143309880634,-0.058038750364349426,0.014304413526191904
P1109_15_LB_T4,2009-12-03 19:30:58,-77.264111,-11.775916,0.6,0,14.285013213504243,-6.037814782047519,0.026944721263336364,-3.092189575088429,0.5659147172680533,0.9944526907745307,-0.10518481739916527,0.005239795163977158
P1109_15_LB_T4,2009-12-03 19:31:03,-77.264385,-11.77643,0.4,0,12.907332299706548,17.097771949672108,0.004458146396370123,-3.135511859675369,0.5112513554464687,0.9558044483671313,0.2940031572646863,0.00189841947434596
P1109_15_LB_T4,2009-12-03 19:31:08,-77.265015,-11.7764825,0.6,0,13.779793530068982,57.57640089352071,-0.04724456223858051,-3.139936801194528,0.5458687065565603,0.5361745130847939,0.8441071564193046,0.0007999357738962196
P1109_15_LB_T4,2009-12-03 19:31:13,-77.265725,-11.776425,0.4,0,15.52650562817955,9.594722409216672,-0.10551269419199587,-3.1350904366735652,0.6151744176692701,0.9860113941796624,0.16667792459674527,0.00038064827136969015
P1109_15_LB_T4,2009-12-03 19:31:18,-77.266533,-11.776338,0.6,0,17.715644855390234,1.5474774542091723,-0.1718234697103556,-3.1277576764420076,0.7020346684402361,0.9996352905639445,0.02700529316890034,0.00021330520694757543
P1109_15_LB_T4,2009-12-03 19:31:23,-77.26702,-11.775936999999999,0.4,0,13.868843354028632,33.79098634670072,-0.21179048416357968,-3.0939595516959435,0.549402008570476,0.8310719742644013,0.5561648798623214,0.00014033185487945148
P1109_15_LB_T4,2009-12-03 19:31:28,-77.2671325,-11.7752325,0.6,0,15.874391458182515,41.04747991856459,-0.22102311070553515,-3.034581050739653,0.6289777656053559,0.7541656575593924,0.6566842170769823,0.00010381337308357856
P1109_15_LB_T4,2009-12-03 19:31:33,-77.26704000000001,-11.774348,0.4,0,19.79407441518643,14.73046163328064,-0.213431839993779,-2.960031321717844,0.7845022020396016,0.9671327041972155,0.25427216220455834,8.156128424798248e-05
P1109_15_LB_T4,2009-12-03 19:31:38,-77.26708,-11.7734355,0.4,0,20.333194464575392,-8.302733632184015,-0.21671455165301134,-2.8831216238858164,0.805893305037307,0.9895189005810358,-0.14440341198496048,6.415780553280677e-05
P1109_15_LB_T4,2009-12-03 19:31:43,-77.267172,-11.772306,0.6,0,25.225266228534487,-2.101796440643284,-0.22426478846912914,-2.7879221677748958,1.0,0.9993272443677939,-0.03667504143517173,5.307521199149522e-05
P1109_15_LB_T4,2009-12-03 19:31:48,-77.266851,-11.771721000000001,0.6,0,14.783635143144727,32.80274139991161,-0.1979210274028273,-2.7386156765621092,0.5856989435566936,0.8405406837162723,0.5417484277944712,4.109486857579913e-05
P1109_15_LB_T4,2009-12-03 19:31:53,-77.266307,-11.770855000000001,0.4,0,22.63311644774195,3.3464134420719986,-0.15327614883516794,-2.6656252126469875,0.8971491729731471,0.9982948583180441,0.05837273212516544,3.079562428052646e-05
P1109_15_LB_T4,2009-12-03 19:31:58,-77.265896,-11.7699975,0.6,0,21.087125639947097,-6.453066471805698,-0.1195462865353017,-2.5933511678349466,0.8358076431218134,0.9936642521248086,-0.11238929686249001,2.610601665237615e-05
P1109_15_LB_T4,2009-12-03 19:32:03,-77.265567,-11.769178,0.4,0,19.602572958064325,-3.68099900434828,-0.09254598313761986,-2.5242799378367304,0.7769038435698091,0.9979369642424081,-0.06420136601854141,2.5632366719372864e-05
P1109_15_LB_T4,2009-12-03 19:32:08,-77.2653775,-11.768292500000001,0.6,0,20.141398575765827,-9.623422939466082,-0.0769941366510298,-2.4496459242146207,0.798283264162901,0.985927778380739,-0.16717181525969155,3.2561139440305726e-05
P1109_15_LB_T4,2009-12-03 19:32:13,-77.265348,-11.76746,0.4,0,18.544649497867006,-9.845786469826919,-0.07457313680253545,-2.3794789944115964,0.734927757304016,0.9852715652504624,-0.17099690847762022,4.893326365144508e-05
P1109_15_LB_T4,2009-12-03 19:32:18,-77.26558299999999,-11.7665995,0.6,0,19.82970150754083,-16.955242914204746,-0.0938590678003798,-2.3069520957985032,0.785915807048218,0.95653285281256,-0.29162458999588065,6.176931364808955e-05
P1109_15_LB_T4,2009-12-03 19:32:23,-77.265713,-11.765718,0.4,0,19.827839193613357,6.752964388495229,-0.1045278806943428,-2.232655220577746,0.7858419145096605,0.993062374435999,0.1175887770135217,7.821019212928369e-05
