file,name,model,nb,method,auc
SD_UNet_1_from_scratch_0.ckpt,SD_UNet_1_from_scratch,UNet,1,scratch,0.57187838116633
SD_UNet_5_from_scratch_0.ckpt,SD_UNet_5_from_scratch,UNet,5,scratch,0.771307594443426
SD_UNet_15_from_scratch_0.ckpt,SD_UNet_15_from_scratch,UNet,15,scratch,0.805447803961122
SD_UNet_30_from_scratch_0.ckpt,SD_UNet_30_from_scratch,UNet,30,scratch,0.924958795617092
SD_UNet_1_from_scratch_1.ckpt,SD_UNet_1_from_scratch,UNet,1,scratch,0.723262710893086
SD_UNet_5_from_scratch_1.ckpt,SD_UNet_5_from_scratch,UNet,5,scratch,0.714440502934165
SD_UNet_15_from_scratch_1.ckpt,SD_UNet_15_from_scratch,UNet,15,scratch,0.804273736933798
SD_UNet_30_from_scratch_1.ckpt,SD_UNet_30_from_scratch,UNet,30,scratch,0.937465156794425
SD_UNet_1_from_scratch_2.ckpt,SD_UNet_1_from_scratch,UNet,1,scratch,0.809691912708601
SD_UNet_5_from_scratch_2.ckpt,SD_UNet_5_from_scratch,UNet,5,scratch,0.780386771043462
SD_UNet_15_from_scratch_2.ckpt,SD_UNet_15_from_scratch,UNet,15,scratch,0.847348477902072
SD_UNet_30_from_scratch_2.ckpt,SD_UNet_30_from_scratch,UNet,30,scratch,0.876001341004951
SD_UNet_1_from_scratch_3.ckpt,SD_UNet_1_from_scratch,UNet,1,scratch,0.64816064551623
SD_UNet_5_from_scratch_3.ckpt,SD_UNet_5_from_scratch,UNet,5,scratch,0.716735799101412
SD_UNet_15_from_scratch_3.ckpt,SD_UNet_15_from_scratch,UNet,15,scratch,0.872649344397579
SD_UNet_30_from_scratch_3.ckpt,SD_UNet_30_from_scratch,UNet,30,scratch,0.921598775903173
SD_UNet_1_from_scratch_4.ckpt,SD_UNet_1_from_scratch,UNet,1,scratch,0.713621744911058
SD_UNet_5_from_scratch_4.ckpt,SD_UNet_5_from_scratch,UNet,5,scratch,0.663298929488355
SD_UNet_15_from_scratch_4.ckpt,SD_UNet_15_from_scratch,UNet,15,scratch,0.92162250137539
SD_UNet_30_from_scratch_4.ckpt,SD_UNet_30_from_scratch,UNet,30,scratch,0.931862105721621
SD_UNet_1_from_SV_0.ckpt,SD_UNet_1_from_SV,UNet,1,SV,0.766883997340913
SD_UNet_5_from_SV_0.ckpt,SD_UNet_5_from_SV,UNet,5,SV,0.815030430496974
SD_UNet_15_from_SV_0.ckpt,SD_UNet_15_from_SV,UNet,15,SV,0.904376604621309
SD_UNet_30_from_SV_0.ckpt,SD_UNet_30_from_SV,UNet,30,SV,0.915621905373189
SD_UNet_1_from_SV_1.ckpt,SD_UNet_1_from_SV,UNet,1,SV,0.7328198354117
SD_UNet_5_from_SV_1.ckpt,SD_UNet_5_from_SV,UNet,5,SV,0.88404886071887
SD_UNet_15_from_SV_1.ckpt,SD_UNet_15_from_SV,UNet,15,SV,0.902050820649184
SD_UNet_30_from_SV_1.ckpt,SD_UNet_30_from_SV,UNet,30,SV,0.921730469466349
SD_UNet_1_from_SV_2.ckpt,SD_UNet_1_from_SV,UNet,1,SV,0.659386576196589
