model,trip,real,p
deep_network_matrix,P1108_46_SV_T2,0,0.17011733028948822
deep_network_matrix,P1108_46_SV_T2,0,0.09620908292337527
deep_network_matrix,P1108_46_SV_T2,0,0.1257063765603495
deep_network_matrix,P1108_46_SV_T2,0,0.08127204521131651
deep_network_matrix,P1108_46_SV_T2,0,0.06955438301278002
deep_network_matrix,P1108_46_SV_T2,0,0.051323378412884986
deep_network_matrix,P1108_46_SV_T2,0,0.027384844479470795
deep_network_matrix,P1108_46_SV_T2,0,0.008387856788851593
deep_network_matrix,P1108_46_SV_T2,0,0.002550857959660097
deep_network_matrix,P1108_46_SV_T2,0,0.0008673840062815122
deep_network_matrix,P1108_46_SV_T2,0,0.00028376915707320667
deep_network_matrix,P1108_46_SV_T2,0,0.00011643248601287208
deep_network_matrix,P1108_46_SV_T2,0,5.936309932520154e-05
deep_network_matrix,P1108_46_SV_T2,0,3.672071892888934e-05
deep_network_matrix,P1108_46_SV_T2,0,3.2536247978881503e-05
deep_network_matrix,P1108_46_SV_T2,0,2.1870410765371213e-05
deep_network_matrix,P1108_46_SV_T2,0,1.8543784978320364e-05
deep_network_matrix,P1108_46_SV_T2,0,2.3217469664248524e-05
deep_network_matrix,P1108_46_SV_T2,0,2.6710836936701993e-05
deep_network_matrix,P1108_46_SV_T2,0,3.391546879812003e-05
deep_network_matrix,P1108_46_SV_T2,0,3.613162991725933e-05
deep_network_matrix,P1108_46_SV_T2,0,3.273904321642174e-05
deep_network_matrix,P1108_46_SV_T2,0,4.5833365882379935e-05
deep_network_matrix,P1108_46_SV_T2,0,7.137865410050867e-05
deep_network_matrix,P1108_46_SV_T2,0,0.00010067755492983468
deep_network_matrix,P1108_46_SV_T2,0,0.0002080587997471335
deep_network_matrix,P1108_46_SV_T2,0,0.00034526175792702553
deep_network_matrix,P1108_46_SV_T2,0,0.0005060538632523133
deep_network_matrix,P1108_46_SV_T2,0,0.0006529807100786014
deep_network_matrix,P1108_46_SV_T2,0,0.00036258039636513845
deep_network_matrix,P1108_46_SV_T2,0,0.0003700000533590935
deep_network_matrix,P1108_46_SV_T2,0,0.0002708208244056315
deep_network_matrix,P1108_46_SV_T2,0,0.00021766208909971071
deep_network_matrix,P1108_46_SV_T2,0,0.0001479214070739181
deep_network_matrix,P1108_46_SV_T2,0,0.00016009304571807843
deep_network_matrix,P1108_46_SV_T2,0,0.00018884039762425808
deep_network_matrix,P1108_46_SV_T2,0,0.0002226521547156028
deep_network_matrix,P1108_46_SV_T2,0,0.0001313778078816401
deep_network_matrix,P1108_46_SV_T2,0,0.00010517756339752922
deep_network_matrix,P1108_46_SV_T2,0,7.137067197412014e-05
deep_network_matrix,P1108_46_SV_T2,0,4.7700685741663486e-05
deep_network_matrix,P1108_46_SV_T2,0,4.320048555900905e-05
deep_network_matrix,P1108_46_SV_T2,0,3.28846256645815e-05
deep_network_matrix,P1108_46_SV_T2,0,3.464335248536771e-05
deep_network_matrix,P1108_46_SV_T2,0,3.87656502220841e-05
deep_network_matrix,P1108_46_SV_T2,0,5.5794292223244336e-05
deep_network_matrix,P1108_46_SV_T2,0,7.541173684065694e-05
deep_network_matrix,P1108_46_SV_T2,0,0.00010768091922507883
deep_network_matrix,P1108_46_SV_T2,0,9.896350457250575e-05
deep_network_matrix,P1108_46_SV_T2,0,0.00015469698044055864
deep_network_matrix,P1108_46_SV_T2,0,0.00016616045659734004
deep_network_matrix,P1108_46_SV_T2,0,0.0001949180166962862
deep_network_matrix,P1108_46_SV_T2,0,0.00023759454700474658
deep_network_matrix,P1108_46_SV_T2,0,0.00030139092732280347
deep_network_matrix,P1108_46_SV_T2,0,0.0004084323041271087
deep_network_matrix,P1108_46_SV_T2,0,0.0003629418842934957
deep_network_matrix,P1108_46_SV_T2,0,0.00046258441018967063
deep_network_matrix,P1108_46_SV_T2,0,0.00030956858882359993
deep_network_matrix,P1108_46_SV_T2,0,0.00027128244872640024
deep_network_matrix,P1108_46_SV_T2,0,0.00018485680593411502
deep_network_matrix,P1108_46_SV_T2,0,0.0001829102099856572
deep_network_matrix,P1108_46_SV_T2,0,0.00017809005576194194
deep_network_matrix,P1108_46_SV_T2,0,0.00017022590152652257
deep_network_matrix,P1108_46_SV_T2,0,0.0001988231735040433
deep_network_matrix,P1108_46_SV_T2,0,0.00018159444058312316
deep_network_matrix,P1108_46_SV_T2,0,0.00022383515841202948
deep_network_matrix,P1108_46_SV_T2,0,0.00026161576400219645
deep_network_matrix,P1108_46_SV_T2,0,0.0002729935324304657
deep_network_matrix,P1108_46_SV_T2,0,0.0004399622539105967
deep_network_matrix,P1108_46_SV_T2,0,0.0005993358101322482
deep_network_matrix,P1108_46_SV_T2,0,0.0004095440519622389
deep_network_matrix,P1108_46_SV_T2,0,0.00024303927818624264
deep_network_matrix,P1108_46_SV_T2,0,0.00020125224813590702
deep_network_matrix,P1108_46_SV_T2,0,0.00018067540515148692
deep_network_matrix,P1108_46_SV_T2,0,0.00015817881182298183
deep_network_matrix,P1108_46_SV_T2,0,0.00010915329331792017
deep_network_matrix,P1108_46_SV_T2,0,6.678105268126579e-05
deep_network_matrix,P1108_46_SV_T2,0,4.6453344517125335e-05
deep_network_matrix,P1108_46_SV_T2,0,4.362637921114733e-05
deep_network_matrix,P1108_46_SV_T2,0,3.842249964536431e-05
deep_network_matrix,P1108_46_SV_T2,0,3.0659641105551485e-05
deep_network_matrix,P1108_46_SV_T2,0,2.4579976979063255e-05
deep_network_matrix,P1108_46_SV_T2,0,1.944853924996887e-05
deep_network_matrix,P1108_46_SV_T2,0,1.5909419124824914e-05
deep_network_matrix,P1108_46_SV_T2,0,1.2705521383029511e-05
deep_network_matrix,P1108_46_SV_T2,0,1.1298700515799548e-05
deep_network_matrix,P1108_46_SV_T2,0,9.328548245506547e-06
deep_network_matrix,P1108_46_SV_T2,0,9.110398315301494e-06
deep_network_matrix,P1108_46_SV_T2,0,8.663377405984456e-06
deep_network_matrix,P1108_46_SV_T2,0,8.214918798808964e-06
deep_network_matrix,P1108_46_SV_T2,0,1.0677503790227191e-05
deep_network_matrix,P1108_46_SV_T2,0,1.5193989645242007e-05
deep_network_matrix,P1108_46_SV_T2,0,1.9293422975290392e-05
deep_network_matrix,P1108_46_SV_T2,0,2.1303523276359732e-05
deep_network_matrix,P1108_46_SV_T2,0,1.493170018742739e-05
deep_network_matrix,P1108_46_SV_T2,0,1.3673042827105004e-05
