"model","trip","real","p"
"hmm","P1108_46_SV_T2",0,0.982918362691598
"hmm","P1108_46_SV_T2",0,0.0101756149097998
"hmm","P1108_46_SV_T2",0,0.000863896919609011
"hmm","P1108_46_SV_T2",0,0.000340025971386316
"hmm","P1108_46_SV_T2",0,0.999999999999978
"hmm","P1108_46_SV_T2",0,0.866225398136186
"hmm","P1108_46_SV_T2",0,0.0309768349890539
"hmm","P1108_46_SV_T2",0,0.0239908223477709
"hmm","P1108_46_SV_T2",0,4.56415679863475e-06
"hmm","P1108_46_SV_T2",0,4.77510032322569e-06
"hmm","P1108_46_SV_T2",0,5.14189463048212e-06
"hmm","P1108_46_SV_T2",0,3.20235088944671e-06
"hmm","P1108_46_SV_T2",0,1.14950988328444e-05
"hmm","P1108_46_SV_T2",0,1.66148322400536e-05
"hmm","P1108_46_SV_T2",0,0.000409030993512399
"hmm","P1108_46_SV_T2",0,1.4323964103156e-05
"hmm","P1108_46_SV_T2",0,1.10550184810176e-05
"hmm","P1108_46_SV_T2",0,6.27885683399425e-06
"hmm","P1108_46_SV_T2",0,5.70781294871481e-06
"hmm","P1108_46_SV_T2",0,7.47142723761557e-05
"hmm","P1108_46_SV_T2",0,0.0120127992005252
"hmm","P1108_46_SV_T2",0,0.00045055791544597
"hmm","P1108_46_SV_T2",0,0.000103941595884605
"hmm","P1108_46_SV_T2",0,6.33939238170288e-05
"hmm","P1108_46_SV_T2",0,2.68243230885824e-05
"hmm","P1108_46_SV_T2",0,5.8247938945311e-06
"hmm","P1108_46_SV_T2",0,4.92585169194184e-06
"hmm","P1108_46_SV_T2",0,7.28473191186259e-06
"hmm","P1108_46_SV_T2",0,0.0153565287753246
"hmm","P1108_46_SV_T2",0,2.57448211567599e-05
"hmm","P1108_46_SV_T2",0,4.81405046481042e-06
"hmm","P1108_46_SV_T2",0,0.000235970520387672
"hmm","P1108_46_SV_T2",0,0.00451816746553009
"hmm","P1108_46_SV_T2",0,1.25484671532924e-05
"hmm","P1108_46_SV_T2",0,1.73556446190254e-05
"hmm","P1108_46_SV_T2",0,9.13163893179214e-06
"hmm","P1108_46_SV_T2",0,0.00186781612414441
"hmm","P1108_46_SV_T2",0,0.000118270131357926
"hmm","P1108_46_SV_T2",0,7.43013748520202e-06
"hmm","P1108_46_SV_T2",0,5.73711588449484e-06
"hmm","P1108_46_SV_T2",0,0.000187889978551495
"hmm","P1108_46_SV_T2",0,0.000115205370788283
"hmm","P1108_46_SV_T2",0,2.38579118637952e-06
"hmm","P1108_46_SV_T2",0,7.57936163745736e-06
"hmm","P1108_46_SV_T2",0,1.27673055927031e-05
"hmm","P1108_46_SV_T2",0,2.79605370946535e-06
"hmm","P1108_46_SV_T2",0,0.000535605965976126
"hmm","P1108_46_SV_T2",0,0.000950750580432204
"hmm","P1108_46_SV_T2",0,0.000573881631405237
"hmm","P1108_46_SV_T2",0,0.002173606155218
"hmm","P1108_46_SV_T2",0,0.000902595449691996
"hmm","P1108_46_SV_T2",0,8.75190039261317e-06
"hmm","P1108_46_SV_T2",0,9.35620571127617e-06
"hmm","P1108_46_SV_T2",0,6.80654889567383e-06
"hmm","P1108_46_SV_T2",0,0.000866874641399391
"hmm","P1108_46_SV_T2",0,0.0133723675806745
"hmm","P1108_46_SV_T2",0,0.0234065306094114
"hmm","P1108_46_SV_T2",0,0.000176109681031977
"hmm","P1108_46_SV_T2",0,0.000321406915985028
"hmm","P1108_46_SV_T2",0,3.77808498425468e-06
"hmm","P1108_46_SV_T2",0,3.57933164878764e-06
"hmm","P1108_46_SV_T2",0,5.15200110436887e-06
"hmm","P1108_46_SV_T2",0,0.000766577410992217
"hmm","P1108_46_SV_T2",0,0.00164482793382404
"hmm","P1108_46_SV_T2",0,1.22844345336095e-05
"hmm","P1108_46_SV_T2",0,0.00072673895033321
"hmm","P1108_46_SV_T2",0,0.0029871338574063
"hmm","P1108_46_SV_T2",0,0.000255683151594136
"hmm","P1108_46_SV_T2",0,5.8524683874841e-06
"hmm","P1108_46_SV_T2",0,0.000914489894794442
"hmm","P1108_46_SV_T2",0,0.00158977819873832
"hmm","P1108_46_SV_T2",0,0.0103999538670524
"hmm","P1108_46_SV_T2",0,0.117909167510306
"hmm","P1108_46_SV_T2",0,6.2972323119748e-05
"hmm","P1108_46_SV_T2",0,6.13468842444094e-06
"hmm","P1108_46_SV_T2",0,0.000873413279986055
"hmm","P1108_46_SV_T2",0,0.000424459846257232
"hmm","P1108_46_SV_T2",0,4.5944784450595e-06
"hmm","P1108_46_SV_T2",0,9.39651127650395e-06
"hmm","P1108_46_SV_T2",0,1.42575264608431e-05
"hmm","P1108_46_SV_T2",0,7.72691862013752e-06
"hmm","P1108_46_SV_T2",0,4.52673347115169e-06
"hmm","P1108_46_SV_T2",0,2.98303988528954e-06
"hmm","P1108_46_SV_T2",0,5.4428954370554e-06
"hmm","P1108_46_SV_T2",0,2.59060451741583e-06
"hmm","P1108_46_SV_T2",0,0.000183698520002059
"hmm","P1108_46_SV_T2",0,2.68174262333427e-06
"hmm","P1108_46_SV_T2",0,2.49135840382261e-06
"hmm","P1108_46_SV_T2",0,3.91422127361169e-06
"hmm","P1108_46_SV_T2",0,5.40924220739526e-06
"hmm","P1108_46_SV_T2",0,2.36295579818688e-06
"hmm","P1108_46_SV_T2",0,4.91065073486244e-06
"hmm","P1108_46_SV_T2",0,1.17000638729314e-05
"hmm","P1108_46_SV_T2",0,0.436363059529001
"hmm","P1108_46_SV_T2",0,2.69269807774959e-05
"hmm","P1108_46_SV_T2",0,2.64340359089863e-06
"hmm","P1108_46_SV_T2",0,2.83587867961287e-06
"hmm","P1108_46_SV_T2",0,2.6897900319119e-06
"hmm","P1108_46_SV_T2",0,5.03364942219807e-06
