model,trip,real,p
network_timeseries,P1108_46_SV_T2,0,0.3430977034643122
network_timeseries,P1108_46_SV_T2,0,0.13077036428109995
network_timeseries,P1108_46_SV_T2,0,0.06585120233511986
network_timeseries,P1108_46_SV_T2,0,0.010562695345027148
network_timeseries,P1108_46_SV_T2,0,0.0009514230193537964
network_timeseries,P1108_46_SV_T2,0,0.00010728158023288357
network_timeseries,P1108_46_SV_T2,0,2.222942020024672e-05
network_timeseries,P1108_46_SV_T2,0,3.3187341075081696e-06
network_timeseries,P1108_46_SV_T2,0,5.15156995957065e-07
network_timeseries,P1108_46_SV_T2,0,8.212816411265484e-08
network_timeseries,P1108_46_SV_T2,0,9.903646231853262e-09
network_timeseries,P1108_46_SV_T2,0,1.1051315410237019e-09
network_timeseries,P1108_46_SV_T2,0,1.288662741074275e-10
network_timeseries,P1108_46_SV_T2,0,1.6723531470904188e-11
network_timeseries,P1108_46_SV_T2,0,2.2311173962684582e-12
network_timeseries,P1108_46_SV_T2,0,4.065921480859156e-13
network_timeseries,P1108_46_SV_T2,0,1.0515264578566406e-13
network_timeseries,P1108_46_SV_T2,0,3.3409688600656256e-14
network_timeseries,P1108_46_SV_T2,0,1.3523847926286923e-14
network_timeseries,P1108_46_SV_T2,0,6.6218305136235936e-15
network_timeseries,P1108_46_SV_T2,0,3.939031097704104e-15
network_timeseries,P1108_46_SV_T2,0,2.581535870862291e-15
network_timeseries,P1108_46_SV_T2,0,1.791980260308189e-15
network_timeseries,P1108_46_SV_T2,0,1.3832840854208365e-15
network_timeseries,P1108_46_SV_T2,0,1.082076923638815e-15
network_timeseries,P1108_46_SV_T2,0,9.301357075665248e-16
network_timeseries,P1108_46_SV_T2,0,8.634595855616759e-16
network_timeseries,P1108_46_SV_T2,0,7.773153885463618e-16
network_timeseries,P1108_46_SV_T2,0,7.324413304296054e-16
network_timeseries,P1108_46_SV_T2,0,6.665131713446913e-16
network_timeseries,P1108_46_SV_T2,0,6.084519922027502e-16
network_timeseries,P1108_46_SV_T2,0,5.646962191288992e-16
network_timeseries,P1108_46_SV_T2,0,5.015582899581508e-16
network_timeseries,P1108_46_SV_T2,0,4.638867145749024e-16
network_timeseries,P1108_46_SV_T2,0,4.234513829086103e-16
network_timeseries,P1108_46_SV_T2,0,3.883330776970154e-16
network_timeseries,P1108_46_SV_T2,0,3.6422056151748043e-16
network_timeseries,P1108_46_SV_T2,0,3.319279373904505e-16
network_timeseries,P1108_46_SV_T2,0,2.8647307134655213e-16
network_timeseries,P1108_46_SV_T2,0,2.4600881853370124e-16
network_timeseries,P1108_46_SV_T2,0,2.0995661678385189e-16
network_timeseries,P1108_46_SV_T2,0,1.7493751061051488e-16
network_timeseries,P1108_46_SV_T2,0,1.5221266549023958e-16
network_timeseries,P1108_46_SV_T2,0,1.3493975029216378e-16
network_timeseries,P1108_46_SV_T2,0,1.231286114138631e-16
network_timeseries,P1108_46_SV_T2,0,1.161798821174543e-16
network_timeseries,P1108_46_SV_T2,0,1.1813710548764109e-16
network_timeseries,P1108_46_SV_T2,0,1.237162444042909e-16
network_timeseries,P1108_46_SV_T2,0,1.1003678860640605e-16
network_timeseries,P1108_46_SV_T2,0,8.716841408298404e-17
network_timeseries,P1108_46_SV_T2,0,6.091475113333199e-17
network_timeseries,P1108_46_SV_T2,0,3.7511828944906146e-17
network_timeseries,P1108_46_SV_T2,0,2.4062409818847745e-17
network_timeseries,P1108_46_SV_T2,0,1.5105646071653108e-17
network_timeseries,P1108_46_SV_T2,0,9.42388217501338e-18
network_timeseries,P1108_46_SV_T2,0,6.409484636037308e-18
network_timeseries,P1108_46_SV_T2,0,5.228394845744058e-18
network_timeseries,P1108_46_SV_T2,0,5.380361740765162e-18
network_timeseries,P1108_46_SV_T2,0,6.972488656033974e-18
network_timeseries,P1108_46_SV_T2,0,1.186273299898161e-17
network_timeseries,P1108_46_SV_T2,0,1.149546359394082e-17
network_timeseries,P1108_46_SV_T2,0,1.1480696886185106e-17
network_timeseries,P1108_46_SV_T2,0,1.1554338325413873e-17
network_timeseries,P1108_46_SV_T2,0,1.1918819611711254e-17
network_timeseries,P1108_46_SV_T2,0,1.2070152414819978e-17
network_timeseries,P1108_46_SV_T2,0,1.222947418200243e-17
network_timeseries,P1108_46_SV_T2,0,1.271149425706811e-17
network_timeseries,P1108_46_SV_T2,0,1.2666214653855195e-17
network_timeseries,P1108_46_SV_T2,0,1.2818252669695732e-17
network_timeseries,P1108_46_SV_T2,0,1.3046642985469102e-17
network_timeseries,P1108_46_SV_T2,0,1.2862904025094717e-17
network_timeseries,P1108_46_SV_T2,0,1.271612796483863e-17
network_timeseries,P1108_46_SV_T2,0,1.2857106097915527e-17
network_timeseries,P1108_46_SV_T2,0,1.295438628986453e-17
network_timeseries,P1108_46_SV_T2,0,1.2737934190137157e-17
network_timeseries,P1108_46_SV_T2,0,1.2648375622136605e-17
network_timeseries,P1108_46_SV_T2,0,1.2929416882229554e-17
network_timeseries,P1108_46_SV_T2,0,1.3187819168043144e-17
network_timeseries,P1108_46_SV_T2,0,1.3696559266057429e-17
network_timeseries,P1108_46_SV_T2,0,1.4387382412311967e-17
network_timeseries,P1108_46_SV_T2,0,1.496265227023508e-17
network_timeseries,P1108_46_SV_T2,0,1.5784627474091484e-17
network_timeseries,P1108_46_SV_T2,0,1.6490397219189036e-17
network_timeseries,P1108_46_SV_T2,0,1.7325312466827782e-17
network_timeseries,P1108_46_SV_T2,0,1.8714399971480203e-17
network_timeseries,P1108_46_SV_T2,0,2.0287393375776096e-17
network_timeseries,P1108_46_SV_T2,0,2.1884691288528895e-17
network_timeseries,P1108_46_SV_T2,0,2.3603654941989476e-17
network_timeseries,P1108_46_SV_T2,0,2.525736859020056e-17
network_timeseries,P1108_46_SV_T2,0,2.6675531975789892e-17
network_timeseries,P1108_46_SV_T2,0,2.765172887748789e-17
network_timeseries,P1108_46_SV_T2,0,2.837775694927733e-17
network_timeseries,P1108_46_SV_T2,0,2.8774413855798257e-17
network_timeseries,P1108_46_SV_T2,0,3.03442573370466e-17
network_timeseries,P1108_46_SV_T2,0,3.2985673212477504e-17
network_timeseries,P1108_46_SV_T2,0,3.7522501362739104e-17
network_timeseries,P1108_46_SV_T2,0,4.350999718429599e-17
network_timeseries,P1108_46_SV_T2,0,4.8807964887989734e-17
network_timeseries,P1108_46_SV_T2,0,5.368832870296275e-17
network_timeseries,P1108_46_SV_T2,0,5.2763932413671463e-17
network_timeseries,P1108_46_SV_T2,0,4.246629424123841e-17
network_timeseries,P1108_46_SV_T2,0,2.824096802003009e-17
network_timeseries,P1108_46_SV_T2,0,1.5558972811096373e-17
network_timeseries,P1108_46_SV_T2,0,7.2507083323381e-18
network_timeseries,P1108_46_SV_T2,0,2.311061263957842e-18
network_timeseries,P1108_46_SV_T2,0,5.244387507979157e-19
network_timeseries,P1108_46_SV_T2,0,8.465417242059412e-20
network_timeseries,P1108_46_SV_T2,0,6.985694486400918e-21
network_timeseries,P1108_46_SV_T2,0,2.7786788383922727e-22
network_timeseries,P1108_46_SV_T2,0,5.55440399190935e-24
network_timeseries,P1108_46_SV_T2,0,5.808042221548525e-26
network_timeseries,P1108_46_SV_T2,0,3.2805452596746277e-28
network_timeseries,P1108_46_SV_T2,0,1.1629549806554845e-30
network_timeseries,P1108_46_SV_T2,0,3.271082538800105e-33
network_timeseries,P1108_46_SV_T2,0,9.282106063682325e-36
network_timeseries,P1108_46_SV_T2,0,3.380119384503398e-38
network_timeseries,P1108_46_SV_T2,0,1.881099820762844e-40
network_timeseries,P1108_46_SV_T2,0,1.661705967805179e-42
network_timeseries,P1108_46_SV_T2,0,3.1845130545535644e-44
network_timeseries,P1108_46_SV_T2,0,1.7308951750318825e-45
network_timeseries,P1108_46_SV_T2,0,2.4350755441763358e-46
network_timeseries,P1108_46_SV_T2,0,7.25440064897334e-47
