model,FP,TP
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,1.0,1.0
deep_network_matrix,0.9990534784666352,1.0
deep_network_matrix,0.9981069569332702,1.0
deep_network_matrix,0.9971604353999054,1.0
deep_network_matrix,0.9943208707998107,1.0
deep_network_matrix,0.9933743492664459,1.0
deep_network_matrix,0.9900615238996687,1.0
deep_network_matrix,0.9895882631329863,1.0
deep_network_matrix,0.987221959299574,1.0
deep_network_matrix,0.9862754377662092,1.0
deep_network_matrix,0.9853289162328442,1.0
deep_network_matrix,0.983909133932797,1.0
deep_network_matrix,0.9824893516327496,1.0
deep_network_matrix,0.9805963085660199,1.0
deep_network_matrix,0.9777567439659253,1.0
deep_network_matrix,0.975390440132513,1.0
deep_network_matrix,0.9725508755324184,1.0
deep_network_matrix,0.9687647893989588,1.0
deep_network_matrix,0.9635589209654519,1.0
deep_network_matrix,0.9602460955986749,1.0
deep_network_matrix,0.9564600094652154,1.0
deep_network_matrix,0.9540937056318031,1.0
deep_network_matrix,0.9474680548982489,1.0
deep_network_matrix,0.9380028395646001,1.0
deep_network_matrix,0.9280643634642688,1.0
deep_network_matrix,0.9185991481306199,1.0
deep_network_matrix,0.9129200189304306,1.0
deep_network_matrix,0.9081874112636062,1.0
deep_network_matrix,0.9015617605300521,1.0
deep_network_matrix,0.898248935163275,1.0
deep_network_matrix,0.8935163274964505,1.0
deep_network_matrix,0.8873639375295788,1.0
deep_network_matrix,0.8826313298627544,1.0
deep_network_matrix,0.8741126360624705,1.0
deep_network_matrix,0.865120681495504,1.0
