model,FP,TP
ftp,0.9830188679245283,1.0
ftp,0.6745283018867925,1.0
ftp,0.41981132075471694,1.0
ftp,0.32169811320754715,0.8936170212765957
ftp,0.26084905660377355,0.7446808510638298
ftp,0.23066037735849054,0.6595744680851063
ftp,0.20188679245283025,0.6170212765957447
ftp,0.17311320754716975,0.5425531914893617
ftp,0.15000000000000002,0.46808510638297873
ftp,0.13490566037735852,0.425531914893617
ftp,0.1165094339622641,0.35106382978723405
ftp,0.10047169811320755,0.2872340425531915
ftp,0.09150943396226419,0.2765957446808511
ftp,0.08396226415094343,0.2553191489361702
ftp,0.07735849056603772,0.22340425531914893
ftp,0.07358490566037734,0.22340425531914893
ftp,0.07075471698113212,0.18085106382978725
ftp,0.06179245283018864,0.1595744680851064
ftp,0.05283018867924527,0.1276595744680851
ftp,0.049056603773584895,0.1276595744680851
ftp,0.042924528301886755,0.09574468085106383
ftp,0.027358490566037785,0.031914893617021274
ftp,0.023113207547169834,0.02127659574468085
ftp,0.021226415094339646,0.02127659574468085
ftp,0.019339622641509457,0.010638297872340425
ftp,0.018396226415094308,0.010638297872340425
ftp,0.017924528301886844,0.010638297872340425
